case_id,initial_distance_to_obstacle,initial_speed,obstacle_radius,initial_heading_error,obstacle_speed,obstacle_heading,label,min_h,controller_error,case_runtime_s
0,1.5850799808521465,1.5940877147919743,0.5917714873916691,1.7390410645051047,0.9146528780378635,2.9048722970640295,Pass,1.9394817352294922,False,0.23875174998829607
1,0.9176268862690257,1.1160840592653587,0.7953161113046918,0.7839498361094046,0.9448454111084705,-2.9270287646823814,Fail,-0.3530881702899933,False,0.13010545799625106
2,1.5770693281772266,1.012001404306543,0.7740899729936817,-1.8017216894634567,0.11357729024751655,-0.018331326594512642,Pass,1.7898507118225098,False,0.14437374999397434
3,2.868875248333435,1.5081745851439807,0.813822505714566,-0.6382043684248209,0.7533087066188517,-1.3670853769244036,Fail,-0.3750256299972534,False,0.13773674999538343
4,1.011483141263762,1.818410731326687,0.3751333921231101,-1.3983439790097763,0.7819132222510248,-1.3529846522629474,Pass,0.23489581048488617,False,0.6068866260029608
5,2.043228387090699,2.4750015846864764,0.7654573976902295,-0.6480197319162935,0.5229591932712072,-1.9610605082651675,Fail,-0.41370001435279846,False,0.14962895899952855
6,1.2502095653420575,0.8280057455882306,0.37388189686140366,-2.5978948002083677,0.39312113860154146,0.3022362300032664,Pass,0.6735541224479675,False,0.16454562499711756
7,2.7892611240250247,1.7880201489320144,0.634157308952586,-0.7367327513441975,1.1621135934190512,2.5083008023981384,Pass,1.7615596055984497,False,0.1348792499920819
8,2.1740822582952966,1.2807360106464263,0.7404231423355376,-2.598742269246544,0.88713521472701,0.4339604455693875,Pass,2.00191593170166,False,0.1278352080116747
9,2.046827391267523,0.14608071250857418,0.7928629374962539,-2.93252604349779,0.1482052546325225,0.9799876104967407,Pass,3.56087064743042,False,0.14694304099248257
10,1.6267962194340324,1.4969823174139105,0.5868761206989761,-0.46267168648790413,0.10744020148748179,-2.1108909904451765,Fail,-0.19827434420585632,False,0.12048349999531638
11,2.4481771020991543,0.8204365744374762,0.683010958013921,-0.04753725135614584,0.2418689597293166,-0.3738479776246657,Fail,-0.4512314200401306,False,0.11868633299309295
12,2.5071502178820415,1.2475676496400645,0.597043082132442,-2.4559042146463654,0.8034429910317488,0.9681815276950472,Pass,5.9293413162231445,False,0.15413725101097953
13,0.9233649793348936,1.444961840124731,0.8010859025014603,-0.8663915746150388,0.7697060160907407,2.496491390734967,Fail,-0.2590752840042114,False,0.12262933299643919
14,1.492522744799615,0.25572254109817116,0.6069921913214152,-1.9198495667237008,0.4884833819798511,-2.065986982256838,Fail,-0.09740102291107178,False,0.13654037499509286
15,2.9944307184209453,2.229470152951033,0.8260202292440302,2.9383957562938035,0.4654092584299142,-2.866275285128372,Pass,4.641538143157959,False,0.12304075100109912
16,2.2647531134883403,0.6020844241157632,0.8270933737870474,2.694773838620831,0.7602822085198103,-2.939809336028252,Pass,1.875687599182129,False,0.13991095799428876
17,2.812968422579903,0.11455155394210076,0.6980299562590164,-2.701467697601356,0.17368896634641806,-1.9807619823172404,Pass,1.0995020866394043,False,0.12622445799934212
18,2.522325161993417,0.794842518882293,0.5434218283824918,-2.2796495652187794,0.7632385768074427,0.28827674050140706,Pass,0.15105894207954407,False,0.12690662499517202
19,2.0218298380642827,2.2164727903039783,0.4291181403598161,3.1108355376712344,0.09096757035462928,2.4092896873111105,Pass,3.903653383255005,False,0.1265622499922756
20,2.8245366460919326,1.4766850246763203,0.6958011859651259,0.375399208225236,0.23984404836712256,-0.8883420890683746,Fail,-0.47853848338127136,False,0.1287762499996461
21,2.4135417876220497,1.3201405069640992,0.4261495409217736,-2.2917696157305874,0.00924161728095667,0.7771657059761092,Pass,4.16250467300415,False,0.12542675000440795
22,0.9673529723844009,1.4367446036286535,0.810460667784886,-1.6957417125669234,0.1580439539461913,-2.796401060386838,Pass,0.2789252996444702,False,0.13560687500284985
