rank,rule_id,rule_type,rule_text,selection_score,decisiveness,false_positive_rate,false_negative_rate,n_mismatches,total_runs,selection_reason
1,RF_DNF_t86_fail,fail,(obstacle_speed <= 1.172 AND initial_distance_to_obstacle <= 2.8598 AND obstacle_speed <= 0.4698 AND obstacle_radius <= 0.5553) OR (obstacle_speed <= 1.172 AND initial_distance_to_obstacle <= 2.8598 AND obstacle_speed <= 0.4698 AND obstacle_radius > 0.5553) OR (obstacle_speed <= 1.172 AND initial_distance_to_obstacle <= 2.8598 AND obstacle_speed > 0.4698 AND initial_speed <= 1.882) OR (obstacle_speed <= 1.172 AND initial_distance_to_obstacle <= 2.8598 AND obstacle_speed > 0.4698 AND initial_speed > 1.882) OR (obstacle_speed <= 1.172 AND initial_distance_to_obstacle > 2.8598),0.9806,0.0194,0.9806,0.0000,152,155,FP rate 98.1% >= 20% | FN rate 0.0% <= 5% | 152 mismatches on 155 runs
2,RF_DNF_t58_fail,fail,(initial_heading_error <= 0.9771 AND obstacle_heading <= 0.2202 AND obstacle_speed <= 1.0773) OR (initial_heading_error <= 0.9771 AND obstacle_heading <= 0.2202 AND obstacle_speed > 1.0773) OR (initial_heading_error <= 0.9771 AND obstacle_heading > 0.2202 AND obstacle_speed <= 0.6532) OR (initial_heading_error <= 0.9771 AND obstacle_heading > 0.2202 AND obstacle_speed > 0.6532) OR (initial_heading_error > 0.9771 AND initial_heading_error > 1.278 AND initial_distance_to_obstacle <= 1.9725) OR (initial_heading_error > 0.9771 AND initial_heading_error > 1.278 AND initial_distance_to_obstacle > 1.9725),0.9677,0.0323,0.9677,0.0000,150,155,FP rate 96.8% >= 20% | FN rate 0.0% <= 5% | 150 mismatches on 155 runs
3,DT_DNF_d2_fail,fail,(initial_heading_error <= 0.986 AND initial_distance_to_obstacle <= 2.8882) OR (initial_heading_error <= 0.986 AND initial_distance_to_obstacle > 2.8882) OR (initial_heading_error > 0.986 AND obstacle_speed > 0.4865),0.9613,0.0387,0.9613,0.0000,149,155,FP rate 96.1% >= 20% | FN rate 0.0% <= 5% | 149 mismatches on 155 runs
4,DT_DNF_d3_fail,fail,(initial_heading_error <= 0.986 AND initial_distance_to_obstacle <= 2.8882 AND obstacle_heading <= 1.9292) OR (initial_heading_error <= 0.986 AND initial_distance_to_obstacle <= 2.8882 AND obstacle_heading > 1.9292) OR (initial_heading_error <= 0.986 AND initial_distance_to_obstacle > 2.8882) OR (initial_heading_error > 0.986 AND obstacle_speed > 0.4865 AND obstacle_heading <= -0.6079) OR (initial_heading_error > 0.986 AND obstacle_speed > 0.4865 AND obstacle_heading > -0.6079),0.9613,0.0387,0.9613,0.0000,149,155,FP rate 96.1% >= 20% | FN rate 0.0% <= 5% | 149 mismatches on 155 runs
5,DT_DNF_d4_fail,fail,(initial_heading_error <= 0.986 AND initial_distance_to_obstacle <= 2.8882 AND obstacle_heading <= 1.9292 AND obstacle_speed <= 1.0953) OR (initial_heading_error <= 0.986 AND initial_distance_to_obstacle <= 2.8882 AND obstacle_heading <= 1.9292 AND obstacle_speed > 1.0953) OR (initial_heading_error <= 0.986 AND initial_distance_to_obstacle <= 2.8882 AND obstacle_heading > 1.9292 AND obstacle_speed <= 0.5727) OR (initial_heading_error <= 0.986 AND initial_distance_to_obstacle <= 2.8882 AND obstacle_heading > 1.9292 AND obstacle_speed > 0.5727) OR (initial_heading_error <= 0.986 AND initial_distance_to_obstacle > 2.8882) OR (initial_heading_error > 0.986 AND obstacle_speed > 0.4865 AND obstacle_heading <= -0.6079 AND initial_heading_error <= 1.815) OR (initial_heading_error > 0.986 AND obstacle_speed > 0.4865 AND obstacle_heading <= -0.6079 AND initial_heading_error > 1.815) OR (initial_heading_error > 0.986 AND obstacle_speed > 0.4865 AND obstacle_heading > -0.6079),0.9613,0.0387,0.9613,0.0000,149,155,FP rate 96.1% >= 20% | FN rate 0.0% <= 5% | 149 mismatches on 155 runs
6,DT_DNF_d5_fail,fail,(initial_heading_error <= 0.986 AND initial_distance_to_obstacle <= 2.8882 AND obstacle_heading <= 1.9292 AND obstacle_speed <= 1.0953 AND initial_speed <= 2.278) OR (initial_heading_error <= 0.986 AND initial_distance_to_obstacle <= 2.8882 AND obstacle_heading <= 1.9292 AND obstacle_speed <= 1.0953 AND initial_speed > 2.278) OR (initial_heading_error <= 0.986 AND initial_distance_to_obstacle <= 2.8882 AND obstacle_heading <= 1.9292 AND obstacle_speed > 1.0953 AND obstacle_heading <= -1.427) OR (initial_heading_error <= 0.986 AND initial_distance_to_obstacle <= 2.8882 AND obstacle_heading <= 1.9292 AND obstacle_speed > 1.0953 AND obstacle_heading > -1.427) OR (initial_heading_error <= 0.986 AND initial_distance_to_obstacle <= 2.8882 AND obstacle_heading > 1.9292 AND obstacle_speed <= 0.5727) OR (initial_heading_error <= 0.986 AND initial_distance_to_obstacle <= 2.8882 AND obstacle_heading > 1.9292 AND obstacle_speed > 0.5727) OR (initial_heading_error <= 0.986 AND initial_distance_to_obstacle > 2.8882) OR (initial_heading_error > 0.986 AND obstacle_speed > 0.4865 AND obstacle_heading <= -0.6079 AND initial_heading_error <= 1.815) OR (initial_heading_error > 0.986 AND obstacle_speed > 0.4865 AND obstacle_heading <= -0.6079 AND initial_heading_error > 1.815) OR (initial_heading_error > 0.986 AND obstacle_speed > 0.4865 AND obstacle_heading > -0.6079),0.9613,0.0387,0.9613,0.0000,149,155,FP rate 96.1% >= 20% | FN rate 0.0% <= 5% | 149 mismatches on 155 runs
7,DT_DNF_dX_fail,fail,(initial_heading_error <= 0.986 AND initial_distance_to_obstacle <= 2.8882 AND obstacle_heading <= 1.9292 AND obstacle_speed <= 1.0953 AND initial_speed <= 2.278 AND obstacle_radius <= 0.8522) OR (initial_heading_error <= 0.986 AND initial_distance_to_obstacle <= 2.8882 AND obstacle_heading <= 1.9292 AND obstacle_speed <= 1.0953 AND initial_speed <= 2.278 AND obstacle_radius > 0.8522 AND obstacle_heading <= -1.5518) OR (initial_heading_error <= 0.986 AND initial_distance_to_obstacle <= 2.8882 AND obstacle_heading <= 1.9292 AND obstacle_speed <= 1.0953 AND initial_speed <= 2.278 AND obstacle_radius > 0.8522 AND obstacle_heading > -1.5518) OR (initial_heading_error <= 0.986 AND initial_distance_to_obstacle <= 2.8882 AND obstacle_heading <= 1.9292 AND obstacle_speed <= 1.0953 AND initial_speed > 2.278) OR (initial_heading_error <= 0.986 AND initial_distance_to_obstacle <= 2.8882 AND obstacle_heading <= 1.9292 AND obstacle_speed > 1.0953 AND obstacle_heading <= -1.427) OR (initial_heading_error <= 0.986 AND initial_distance_to_obstacle <= 2.8882 AND obstacle_heading <= 1.9292 AND obstacle_speed > 1.0953 AND obstacle_heading > -1.427) OR (initial_heading_error <= 0.986 AND initial_distance_to_obstacle <= 2.8882 AND obstacle_heading > 1.9292 AND obstacle_speed <= 0.5727) OR (initial_heading_error <= 0.986 AND initial_distance_to_obstacle <= 2.8882 AND obstacle_heading > 1.9292 AND obstacle_speed > 0.5727) OR (initial_heading_error <= 0.986 AND initial_distance_to_obstacle > 2.8882) OR (initial_heading_error > 0.986 AND obstacle_speed > 0.4865 AND obstacle_heading <= -0.6079 AND initial_heading_error <= 1.815) OR (initial_heading_error > 0.986 AND obstacle_speed > 0.4865 AND obstacle_heading <= -0.6079 AND initial_heading_error > 1.815) OR (initial_heading_error > 0.986 AND obstacle_speed > 0.4865 AND obstacle_heading > -0.6079),0.9613,0.0387,0.9613,0.0000,149,155,FP rate 96.1% >= 20% | FN rate 0.0% <= 5% | 149 mismatches on 155 runs
8,RF_DNF_t17_fail,fail,(initial_heading_error <= 0.986 AND obstacle_speed <= 0.0913) OR (initial_heading_error <= 0.986 AND obstacle_speed > 0.0913 AND initial_distance_to_obstacle <= 1.4395) OR (initial_heading_error <= 0.986 AND obstacle_speed > 0.0913 AND initial_distance_to_obstacle > 1.4395 AND obstacle_heading <= 0.2153) OR (initial_heading_error <= 0.986 AND obstacle_speed > 0.0913 AND initial_distance_to_obstacle > 1.4395 AND obstacle_heading > 0.2153) OR (initial_heading_error > 0.986 AND initial_heading_error > 1.4633 AND initial_heading_error <= 1.9973) OR (initial_heading_error > 0.986 AND initial_heading_error > 1.4633 AND initial_heading_error > 1.9973),0.9484,0.0516,0.9484,0.0000,147,155,FP rate 94.8% >= 20% | FN rate 0.0% <= 5% | 147 mismatches on 155 runs
9,RF_DNF_t28_fail,fail,(initial_heading_error <= 0.986 AND initial_heading_error <= -1.4638 AND obstacle_heading <= -1.0926 AND initial_distance_to_obstacle <= 2.0055) OR (initial_heading_error <= 0.986 AND initial_heading_error <= -1.4638 AND obstacle_heading <= -1.0926 AND initial_distance_to_obstacle > 2.0055) OR (initial_heading_error <= 0.986 AND initial_heading_error <= -1.4638 AND obstacle_heading > -1.0926) OR (initial_heading_error <= 0.986 AND initial_heading_error > -1.4638 AND initial_speed <= 2.2711 AND obstacle_heading <= 2.4288) OR (initial_heading_error <= 0.986 AND initial_heading_error > -1.4638 AND initial_speed <= 2.2711 AND obstacle_heading > 2.4288) OR (initial_heading_error <= 0.986 AND initial_heading_error > -1.4638 AND initial_speed > 2.2711 AND initial_speed <= 2.3621) OR (initial_heading_error <= 0.986 AND initial_heading_error > -1.4638 AND initial_speed > 2.2711 AND initial_speed > 2.3621) OR (initial_heading_error > 0.986 AND initial_heading_error > 1.4633 AND obstacle_heading <= -1.0401) OR (initial_heading_error > 0.986 AND initial_heading_error > 1.4633 AND obstacle_heading > -1.0401),0.9484,0.0516,0.9484,0.0000,147,155,FP rate 94.8% >= 20% | FN rate 0.0% <= 5% | 147 mismatches on 155 runs
10,RF_DNF_t79_fail,fail,(obstacle_speed <= 0.3141 AND initial_distance_to_obstacle <= 2.2849 AND obstacle_heading <= -0.3483) OR (obstacle_speed <= 0.3141 AND initial_distance_to_obstacle <= 2.2849 AND obstacle_heading > -0.3483) OR (obstacle_speed > 0.3141 AND obstacle_speed <= 1.0953 AND initial_heading_error <= 0.9771) OR (obstacle_speed > 0.3141 AND obstacle_speed <= 1.0953 AND initial_heading_error > 0.9771 AND initial_heading_error > 1.4854) OR (obstacle_speed > 0.3141 AND obstacle_speed > 1.0953 AND obstacle_speed <= 1.1682) OR (obstacle_speed > 0.3141 AND obstacle_speed > 1.0953 AND obstacle_speed > 1.1682),0.8903,0.1097,0.8903,0.0000,138,155,FP rate 89.0% >= 20% | FN rate 0.0% <= 5% | 138 mismatches on 155 runs
