rule_id,rule_text,rule_type,train_accuracy,val_accuracy,train_f1,val_f1,complexity,support,confidence,source_model,grammar_valid,dnf_valid,variables_used,n_predicates
DT_d2_r1,obstacle_heading <= 0.2668 AND initial_heading_error <= 1.0664,fail,0.7500,0.7000,0.4286,0.2500,2,1,0.8675,decision_tree,True,True,obstacle_heading; initial_heading_error,2
DT_d2_r2,obstacle_heading <= 0.2668 AND initial_heading_error > 1.0664,fail,0.7500,0.7000,0.4286,0.2500,2,1,0.5200,decision_tree,True,True,obstacle_heading; initial_heading_error,2
DT_d2_r3,obstacle_heading > 0.2668 AND initial_heading_error <= -0.9853,pass,0.7500,0.7000,0.4286,0.2500,2,1,1.0000,decision_tree,True,True,obstacle_heading; initial_heading_error,2
DT_d2_r4,obstacle_heading > 0.2668 AND initial_heading_error > -0.9853,fail,0.7500,0.7000,0.4286,0.2500,2,1,0.5405,decision_tree,True,True,obstacle_heading; initial_heading_error,2
DT_DNF_d2_pass,(obstacle_heading > 0.2668 AND initial_heading_error <= -0.9853),pass,0.7500,0.7000,0.4286,0.2500,2,1,1.0000,decision_tree_dnf,True,True,obstacle_heading; initial_heading_error,2
DT_DNF_d2_fail,(obstacle_heading <= 0.2668 AND initial_heading_error <= 1.0664) OR (obstacle_heading <= 0.2668 AND initial_heading_error > 1.0664) OR (obstacle_heading > 0.2668 AND initial_heading_error > -0.9853),fail,0.7500,0.7000,0.4286,0.2500,6,3,0.6427,decision_tree_dnf,True,True,obstacle_heading; initial_heading_error,6
DT_d3_r1,obstacle_heading <= 0.2668 AND initial_heading_error <= 1.0664 AND obstacle_radius <= 0.475,fail,0.8500,0.7500,0.7391,0.4444,3,1,0.6364,decision_tree,True,True,obstacle_heading; initial_heading_error; obstacle_radius,3
DT_d3_r2,obstacle_heading <= 0.2668 AND initial_heading_error <= 1.0664 AND obstacle_radius > 0.475,fail,0.8500,0.7500,0.7391,0.4444,3,1,0.9028,decision_tree,True,True,obstacle_heading; initial_heading_error; obstacle_radius,3
DT_d3_r3,obstacle_heading <= 0.2668 AND initial_heading_error > 1.0664 AND initial_speed <= 2.1176,fail,0.8500,0.7500,0.7391,0.4444,3,1,0.6471,decision_tree,True,True,obstacle_heading; initial_heading_error; initial_speed,3
DT_d3_r4,obstacle_heading <= 0.2668 AND initial_heading_error > 1.0664 AND initial_speed > 2.1176,pass,0.8500,0.7500,0.7391,0.4444,3,1,0.7500,decision_tree,True,True,obstacle_heading; initial_heading_error; initial_speed,3
DT_d3_r6,obstacle_heading > 0.2668 AND initial_heading_error > -0.9853 AND initial_heading_error <= 1.0352,fail,0.8500,0.7500,0.7391,0.4444,3,1,0.8261,decision_tree,True,True,obstacle_heading; initial_heading_error,3
