case_id,observed_label,rule_verdict,rule_type,rule_text,initial_distance_to_obstacle,initial_speed,obstacle_radius,initial_heading_error,cf_variable,cf_original_value,cf_perturbed_value,cf_l1_distance,cf_flips_verdict
1,Pass,Fail,fail,(initial_heading_error > -1.3198 AND initial_heading_error <= 1.0732 AND obstacle_radius <= 0.3731) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 1.0732 AND obstacle_radius > 0.3731),2.148200,2.405812,0.355456,-0.336567,initial_heading_error,-0.336567,-1.320800,0.984233,True
1,Pass,Fail,fail,(initial_heading_error > -1.3198 AND initial_heading_error <= 1.0732 AND obstacle_radius <= 0.3731) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 1.0732 AND obstacle_radius > 0.3731),2.148200,2.405812,0.355456,-0.336567,initial_heading_error,-0.336567,-1.320800,0.984233,True
1,Pass,Fail,fail,(initial_heading_error > -1.3198 AND initial_heading_error <= 1.0732 AND obstacle_radius <= 0.3731) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 1.0732 AND obstacle_radius > 0.3731),2.148200,2.405812,0.355456,-0.336567,initial_heading_error,-0.336567,1.074200,1.410767,True
13,Pass,Fail,fail,(initial_heading_error > -1.3198 AND initial_heading_error <= 1.0732 AND obstacle_radius <= 0.3731) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 1.0732 AND obstacle_radius > 0.3731),2.229890,0.083185,0.430278,0.979988,initial_heading_error,0.979988,1.074200,0.094212,True
13,Pass,Fail,fail,(initial_heading_error > -1.3198 AND initial_heading_error <= 1.0732 AND obstacle_radius <= 0.3731) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 1.0732 AND obstacle_radius > 0.3731),2.229890,0.083185,0.430278,0.979988,initial_heading_error,0.979988,1.074200,0.094212,True
13,Pass,Fail,fail,(initial_heading_error > -1.3198 AND initial_heading_error <= 1.0732 AND obstacle_radius <= 0.3731) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 1.0732 AND obstacle_radius > 0.3731),2.229890,0.083185,0.430278,0.979988,initial_heading_error,0.979988,-1.320800,2.300788,True
14,Pass,Fail,fail,(initial_heading_error > -1.3198 AND initial_heading_error <= 1.0732 AND obstacle_radius <= 0.3731) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 1.0732 AND obstacle_radius > 0.3731),1.357578,1.496982,0.629945,-0.462672,initial_heading_error,-0.462672,-1.320800,0.858128,True
14,Pass,Fail,fail,(initial_heading_error > -1.3198 AND initial_heading_error <= 1.0732 AND obstacle_radius <= 0.3731) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 1.0732 AND obstacle_radius > 0.3731),1.357578,1.496982,0.629945,-0.462672,initial_heading_error,-0.462672,-1.320800,0.858128,True
14,Pass,Fail,fail,(initial_heading_error > -1.3198 AND initial_heading_error <= 1.0732 AND obstacle_radius <= 0.3731) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 1.0732 AND obstacle_radius > 0.3731),1.357578,1.496982,0.629945,-0.462672,initial_heading_error,-0.462672,1.074200,1.536872,True
15,Pass,Fail,fail,(initial_heading_error > -1.3198 AND initial_heading_error <= 1.0732 AND obstacle_radius <= 0.3731) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 1.0732 AND obstacle_radius > 0.3731),1.850401,1.231086,0.481012,-0.373848,initial_heading_error,-0.373848,-1.320800,0.946952,True
15,Pass,Fail,fail,(initial_heading_error > -1.3198 AND initial_heading_error <= 1.0732 AND obstacle_radius <= 0.3731) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 1.0732 AND obstacle_radius > 0.3731),1.850401,1.231086,0.481012,-0.373848,initial_heading_error,-0.373848,-1.320800,0.946952,True
15,Pass,Fail,fail,(initial_heading_error > -1.3198 AND initial_heading_error <= 1.0732 AND obstacle_radius <= 0.3731) OR (initial_heading_error > -1.3198 AND initial_heading_error <= 1.0732 AND obstacle_radius > 0.3731),1.850401,1.231086,0.481012,-0.373848,initial_heading_error,-0.373848,1.074200,1.448048,True
