case_id,observed_label,rule_verdict,rule_type,rule_text,initial_distance_to_obstacle,initial_speed,obstacle_radius,initial_heading_error,cf_variable,cf_original_value,cf_perturbed_value,cf_l1_distance,cf_flips_verdict
1,Pass,Fail,fail,(initial_heading_error > -1.6915 AND initial_distance_to_obstacle <= 1.3038) OR (initial_heading_error > -1.6915 AND initial_distance_to_obstacle > 1.3038 AND initial_heading_error <= 0.4442 AND initial_distance_to_obstacle <= 2.2714) OR (initial_heading_error > -1.6915 AND initial_distance_to_obstacle > 1.3038 AND initial_heading_error <= 0.4442 AND initial_distance_to_obstacle > 2.2714),2.148200,2.405812,0.355456,-0.336567,initial_heading_error,-0.336567,0.445200,0.781767,True
1,Pass,Fail,fail,(initial_heading_error > -1.6915 AND initial_distance_to_obstacle <= 1.3038) OR (initial_heading_error > -1.6915 AND initial_distance_to_obstacle > 1.3038 AND initial_heading_error <= 0.4442 AND initial_distance_to_obstacle <= 2.2714) OR (initial_heading_error > -1.6915 AND initial_distance_to_obstacle > 1.3038 AND initial_heading_error <= 0.4442 AND initial_distance_to_obstacle > 2.2714),2.148200,2.405812,0.355456,-0.336567,initial_heading_error,-0.336567,0.445200,0.781767,True
1,Pass,Fail,fail,(initial_heading_error > -1.6915 AND initial_distance_to_obstacle <= 1.3038) OR (initial_heading_error > -1.6915 AND initial_distance_to_obstacle > 1.3038 AND initial_heading_error <= 0.4442 AND initial_distance_to_obstacle <= 2.2714) OR (initial_heading_error > -1.6915 AND initial_distance_to_obstacle > 1.3038 AND initial_heading_error <= 0.4442 AND initial_distance_to_obstacle > 2.2714),2.148200,2.405812,0.355456,-0.336567,initial_heading_error,-0.336567,-1.692500,1.355933,True
4,Pass,Fail,fail,(initial_heading_error > -1.6915 AND initial_distance_to_obstacle <= 1.3038) OR (initial_heading_error > -1.6915 AND initial_distance_to_obstacle > 1.3038 AND initial_heading_error <= 0.4442 AND initial_distance_to_obstacle <= 2.2714) OR (initial_heading_error > -1.6915 AND initial_distance_to_obstacle > 1.3038 AND initial_heading_error <= 0.4442 AND initial_distance_to_obstacle > 2.2714),2.302296,0.996067,0.758042,-1.367085,initial_heading_error,-1.367085,-1.692500,0.325415,True
4,Pass,Fail,fail,(initial_heading_error > -1.6915 AND initial_distance_to_obstacle <= 1.3038) OR (initial_heading_error > -1.6915 AND initial_distance_to_obstacle > 1.3038 AND initial_heading_error <= 0.4442 AND initial_distance_to_obstacle <= 2.2714) OR (initial_heading_error > -1.6915 AND initial_distance_to_obstacle > 1.3038 AND initial_heading_error <= 0.4442 AND initial_distance_to_obstacle > 2.2714),2.302296,0.996067,0.758042,-1.367085,initial_heading_error,-1.367085,-1.692500,0.325415,True
4,Pass,Fail,fail,(initial_heading_error > -1.6915 AND initial_distance_to_obstacle <= 1.3038) OR (initial_heading_error > -1.6915 AND initial_distance_to_obstacle > 1.3038 AND initial_heading_error <= 0.4442 AND initial_distance_to_obstacle <= 2.2714) OR (initial_heading_error > -1.6915 AND initial_distance_to_obstacle > 1.3038 AND initial_heading_error <= 0.4442 AND initial_distance_to_obstacle > 2.2714),2.302296,0.996067,0.758042,-1.367085,initial_heading_error,-1.367085,-1.692500,0.325415,True
5,Pass,Fail,fail,(initial_heading_error > -1.6915 AND initial_distance_to_obstacle <= 1.3038) OR (initial_heading_error > -1.6915 AND initial_distance_to_obstacle > 1.3038 AND initial_heading_error <= 0.4442 AND initial_distance_to_obstacle <= 2.2714) OR (initial_heading_error > -1.6915 AND initial_distance_to_obstacle > 1.3038 AND initial_heading_error <= 0.4442 AND initial_distance_to_obstacle > 2.2714),0.800866,1.818411,0.379703,-1.398344,initial_heading_error,-1.398344,-1.692500,0.294156,True
5,Pass,Fail,fail,(initial_heading_error > -1.6915 AND initial_distance_to_obstacle <= 1.3038) OR (initial_heading_error > -1.6915 AND initial_distance_to_obstacle > 1.3038 AND initial_heading_error <= 0.4442 AND initial_distance_to_obstacle <= 2.2714) OR (initial_heading_error > -1.6915 AND initial_distance_to_obstacle > 1.3038 AND initial_heading_error <= 0.4442 AND initial_distance_to_obstacle > 2.2714),0.800866,1.818411,0.379703,-1.398344,initial_heading_error,-1.398344,-1.692500,0.294156,True
5,Pass,Fail,fail,(initial_heading_error > -1.6915 AND initial_distance_to_obstacle <= 1.3038) OR (initial_heading_error > -1.6915 AND initial_distance_to_obstacle > 1.3038 AND initial_heading_error <= 0.4442 AND initial_distance_to_obstacle <= 2.2714) OR (initial_heading_error > -1.6915 AND initial_distance_to_obstacle > 1.3038 AND initial_heading_error <= 0.4442 AND initial_distance_to_obstacle > 2.2714),0.800866,1.818411,0.379703,-1.398344,initial_heading_error,-1.398344,-1.692500,0.294156,True
14,Pass,Fail,fail,(initial_heading_error > -1.6915 AND initial_distance_to_obstacle <= 1.3038) OR (initial_heading_error > -1.6915 AND initial_distance_to_obstacle > 1.3038 AND initial_heading_error <= 0.4442 AND initial_distance_to_obstacle <= 2.2714) OR (initial_heading_error > -1.6915 AND initial_distance_to_obstacle > 1.3038 AND initial_heading_error <= 0.4442 AND initial_distance_to_obstacle > 2.2714),1.357578,1.496982,0.629945,-0.462672,initial_heading_error,-0.462672,0.445200,0.907872,True
14,Pass,Fail,fail,(initial_heading_error > -1.6915 AND initial_distance_to_obstacle <= 1.3038) OR (initial_heading_error > -1.6915 AND initial_distance_to_obstacle > 1.3038 AND initial_heading_error <= 0.4442 AND initial_distance_to_obstacle <= 2.2714) OR (initial_heading_error > -1.6915 AND initial_distance_to_obstacle > 1.3038 AND initial_heading_error <= 0.4442 AND initial_distance_to_obstacle > 2.2714),1.357578,1.496982,0.629945,-0.462672,initial_heading_error,-0.462672,0.445200,0.907872,True
14,Pass,Fail,fail,(initial_heading_error > -1.6915 AND initial_distance_to_obstacle <= 1.3038) OR (initial_heading_error > -1.6915 AND initial_distance_to_obstacle > 1.3038 AND initial_heading_error <= 0.4442 AND initial_distance_to_obstacle <= 2.2714) OR (initial_heading_error > -1.6915 AND initial_distance_to_obstacle > 1.3038 AND initial_heading_error <= 0.4442 AND initial_distance_to_obstacle > 2.2714),1.357578,1.496982,0.629945,-0.462672,initial_heading_error,-0.462672,-1.692500,1.229828,True
15,Pass,Fail,fail,(initial_heading_error > -1.6915 AND initial_distance_to_obstacle <= 1.3038) OR (initial_heading_error > -1.6915 AND initial_distance_to_obstacle > 1.3038 AND initial_heading_error <= 0.4442 AND initial_distance_to_obstacle <= 2.2714) OR (initial_heading_error > -1.6915 AND initial_distance_to_obstacle > 1.3038 AND initial_heading_error <= 0.4442 AND initial_distance_to_obstacle > 2.2714),1.850401,1.231086,0.481012,-0.373848,initial_heading_error,-0.373848,0.445200,0.819048,True
15,Pass,Fail,fail,(initial_heading_error > -1.6915 AND initial_distance_to_obstacle <= 1.3038) OR (initial_heading_error > -1.6915 AND initial_distance_to_obstacle > 1.3038 AND initial_heading_error <= 0.4442 AND initial_distance_to_obstacle <= 2.2714) OR (initial_heading_error > -1.6915 AND initial_distance_to_obstacle > 1.3038 AND initial_heading_error <= 0.4442 AND initial_distance_to_obstacle > 2.2714),1.850401,1.231086,0.481012,-0.373848,initial_heading_error,-0.373848,0.445200,0.819048,True
15,Pass,Fail,fail,(initial_heading_error > -1.6915 AND initial_distance_to_obstacle <= 1.3038) OR (initial_heading_error > -1.6915 AND initial_distance_to_obstacle > 1.3038 AND initial_heading_error <= 0.4442 AND initial_distance_to_obstacle <= 2.2714) OR (initial_heading_error > -1.6915 AND initial_distance_to_obstacle > 1.3038 AND initial_heading_error <= 0.4442 AND initial_distance_to_obstacle > 2.2714),1.850401,1.231086,0.481012,-0.373848,initial_heading_error,-0.373848,-1.692500,1.318652,True
22,Pass,Fail,fail,(initial_heading_error > -1.6915 AND initial_distance_to_obstacle <= 1.3038) OR (initial_heading_error > -1.6915 AND initial_distance_to_obstacle > 1.3038 AND initial_heading_error <= 0.4442 AND initial_distance_to_obstacle <= 2.2714) OR (initial_heading_error > -1.6915 AND initial_distance_to_obstacle > 1.3038 AND initial_heading_error <= 0.4442 AND initial_distance_to_obstacle > 2.2714),1.079753,0.896540,0.818477,0.176282,initial_heading_error,0.176282,-1.692500,1.868782,True
22,Pass,Fail,fail,(initial_heading_error > -1.6915 AND initial_distance_to_obstacle <= 1.3038) OR (initial_heading_error > -1.6915 AND initial_distance_to_obstacle > 1.3038 AND initial_heading_error <= 0.4442 AND initial_distance_to_obstacle <= 2.2714) OR (initial_heading_error > -1.6915 AND initial_distance_to_obstacle > 1.3038 AND initial_heading_error <= 0.4442 AND initial_distance_to_obstacle > 2.2714),1.079753,0.896540,0.818477,0.176282,initial_heading_error,0.176282,-1.692500,1.868782,True
22,Pass,Fail,fail,(initial_heading_error > -1.6915 AND initial_distance_to_obstacle <= 1.3038) OR (initial_heading_error > -1.6915 AND initial_distance_to_obstacle > 1.3038 AND initial_heading_error <= 0.4442 AND initial_distance_to_obstacle <= 2.2714) OR (initial_heading_error > -1.6915 AND initial_distance_to_obstacle > 1.3038 AND initial_heading_error <= 0.4442 AND initial_distance_to_obstacle > 2.2714),1.079753,0.896540,0.818477,0.176282,initial_heading_error,0.176282,-1.692500,1.868782,True
