case_id,observed_label,rule_verdict,rule_type,rule_text,initial_distance_to_obstacle,initial_speed,obstacle_radius,initial_heading_error,cf_variable,cf_original_value,cf_perturbed_value,cf_l1_distance,cf_flips_verdict
14,Pass,Fail,fail,initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154,1.357578,1.496982,0.629945,-0.462672,initial_speed,1.496982,1.616400,0.119418,True
14,Pass,Fail,fail,initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154,1.357578,1.496982,0.629945,-0.462672,initial_heading_error,-0.462672,-1.320800,0.858128,True
14,Pass,Fail,fail,initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154,1.357578,1.496982,0.629945,-0.462672,initial_heading_error,-0.462672,0.747100,1.209772,True
15,Pass,Fail,fail,initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154,1.850401,1.231086,0.481012,-0.373848,initial_speed,1.231086,1.616400,0.385314,True
15,Pass,Fail,fail,initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154,1.850401,1.231086,0.481012,-0.373848,initial_heading_error,-0.373848,-1.320800,0.946952,True
15,Pass,Fail,fail,initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154,1.850401,1.231086,0.481012,-0.373848,initial_heading_error,-0.373848,0.747100,1.120948,True
22,Pass,Fail,fail,initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154,1.079753,0.896540,0.818477,0.176282,initial_heading_error,0.176282,0.747100,0.570818,True
22,Pass,Fail,fail,initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154,1.079753,0.896540,0.818477,0.176282,initial_speed,0.896540,1.616400,0.719860,True
22,Pass,Fail,fail,initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154,1.079753,0.896540,0.818477,0.176282,initial_heading_error,0.176282,-1.320800,1.497082,True
23,Pass,Fail,fail,initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154,2.461389,0.888803,0.912973,-0.925779,initial_heading_error,-0.925779,-1.320800,0.395021,True
23,Pass,Fail,fail,initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154,2.461389,0.888803,0.912973,-0.925779,initial_speed,0.888803,1.616400,0.727597,True
23,Pass,Fail,fail,initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154,2.461389,0.888803,0.912973,-0.925779,initial_heading_error,-0.925779,0.747100,1.672879,True
24,Pass,Fail,fail,initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154,1.487492,0.574914,0.880130,-0.256434,initial_heading_error,-0.256434,0.747100,1.003534,True
24,Pass,Fail,fail,initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154,1.487492,0.574914,0.880130,-0.256434,initial_speed,0.574914,1.616400,1.041486,True
24,Pass,Fail,fail,initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154,1.487492,0.574914,0.880130,-0.256434,initial_heading_error,-0.256434,-1.320800,1.064366,True
27,Pass,Fail,fail,initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154,1.544410,0.856884,0.420842,-0.492962,initial_speed,0.856884,1.616400,0.759516,True
27,Pass,Fail,fail,initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154,1.544410,0.856884,0.420842,-0.492962,initial_heading_error,-0.492962,-1.320800,0.827838,True
27,Pass,Fail,fail,initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154,1.544410,0.856884,0.420842,-0.492962,initial_heading_error,-0.492962,0.747100,1.240062,True
28,Pass,Fail,fail,initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154,1.184368,0.718326,0.714247,-0.022723,initial_heading_error,-0.022723,0.747100,0.769823,True
28,Pass,Fail,fail,initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154,1.184368,0.718326,0.714247,-0.022723,initial_speed,0.718326,1.616400,0.898074,True
28,Pass,Fail,fail,initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154,1.184368,0.718326,0.714247,-0.022723,initial_heading_error,-0.022723,-1.320800,1.298077,True
29,Pass,Fail,fail,initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154,2.571087,1.575646,0.390861,-0.228927,initial_speed,1.575646,1.616400,0.040754,True
29,Pass,Fail,fail,initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154,2.571087,1.575646,0.390861,-0.228927,initial_heading_error,-0.228927,0.747100,0.976027,True
29,Pass,Fail,fail,initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154,2.571087,1.575646,0.390861,-0.228927,initial_heading_error,-0.228927,-1.320800,1.091873,True
30,Pass,Fail,fail,initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154,1.519250,0.506349,0.705133,-0.425580,initial_heading_error,-0.425580,-1.320800,0.895220,True
30,Pass,Fail,fail,initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154,1.519250,0.506349,0.705133,-0.425580,initial_speed,0.506349,1.616400,1.110051,True
30,Pass,Fail,fail,initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154,1.519250,0.506349,0.705133,-0.425580,initial_heading_error,-0.425580,0.747100,1.172680,True
31,Pass,Fail,fail,initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154,2.067826,1.053873,0.679993,0.237883,initial_heading_error,0.237883,0.747100,0.509217,True
31,Pass,Fail,fail,initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154,2.067826,1.053873,0.679993,0.237883,initial_speed,1.053873,1.616400,0.562527,True
31,Pass,Fail,fail,initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154,2.067826,1.053873,0.679993,0.237883,initial_heading_error,0.237883,-1.320800,1.558683,True
32,Pass,Fail,fail,initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154,2.127672,0.185196,0.914818,-0.685182,initial_heading_error,-0.685182,-1.320800,0.635618,True
32,Pass,Fail,fail,initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154,2.127672,0.185196,0.914818,-0.685182,initial_speed,0.185196,1.616400,1.431204,True
32,Pass,Fail,fail,initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154,2.127672,0.185196,0.914818,-0.685182,initial_heading_error,-0.685182,0.747100,1.432282,True
33,Pass,Fail,fail,initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154,1.544045,0.185099,0.572247,-0.564592,initial_heading_error,-0.564592,-1.320800,0.756208,True
33,Pass,Fail,fail,initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154,1.544045,0.185099,0.572247,-0.564592,initial_heading_error,-0.564592,0.747100,1.311692,True
33,Pass,Fail,fail,initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154,1.544045,0.185099,0.572247,-0.564592,initial_speed,0.185099,1.616400,1.431301,True
35,Pass,Fail,fail,initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154,0.831518,0.686051,0.644002,0.433893,initial_heading_error,0.433893,0.747100,0.313207,True
35,Pass,Fail,fail,initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154,0.831518,0.686051,0.644002,0.433893,initial_speed,0.686051,1.616400,0.930349,True
35,Pass,Fail,fail,initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154,0.831518,0.686051,0.644002,0.433893,initial_heading_error,0.433893,-1.320800,1.754693,True
36,Pass,Fail,fail,initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154,1.583151,0.479998,0.783431,-0.687798,initial_heading_error,-0.687798,-1.320800,0.633002,True
36,Pass,Fail,fail,initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154,1.583151,0.479998,0.783431,-0.687798,initial_speed,0.479998,1.616400,1.136402,True
36,Pass,Fail,fail,initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154,1.583151,0.479998,0.783431,-0.687798,initial_heading_error,-0.687798,0.747100,1.434898,True
38,Pass,Fail,fail,initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154,2.138797,1.563601,0.843728,0.285380,initial_speed,1.563601,1.616400,0.052799,True
38,Pass,Fail,fail,initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154,2.138797,1.563601,0.843728,0.285380,initial_heading_error,0.285380,0.747100,0.461720,True
38,Pass,Fail,fail,initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154,2.138797,1.563601,0.843728,0.285380,initial_heading_error,0.285380,-1.320800,1.606180,True
39,Pass,Fail,fail,initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154,0.801964,0.606667,0.518098,-0.917578,initial_heading_error,-0.917578,-1.320800,0.403222,True
39,Pass,Fail,fail,initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154,0.801964,0.606667,0.518098,-0.917578,initial_speed,0.606667,1.616400,1.009733,True
39,Pass,Fail,fail,initial_heading_error > -1.3198 AND initial_heading_error <= 0.7461 AND initial_speed <= 1.6154,0.801964,0.606667,0.518098,-0.917578,initial_heading_error,-0.917578,0.747100,1.664678,True
