case_id,observed_label,rule_verdict,rule_type,rule_text,initial_distance_to_obstacle,initial_speed,obstacle_radius,initial_heading_error,cf_variable,cf_original_value,cf_perturbed_value,cf_l1_distance,cf_flips_verdict
13,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0271 AND initial_heading_error > -0.7341 AND initial_speed > 0.1598,1.180585,0.660203,0.970068,0.552230,initial_heading_error,0.552230,0.824600,0.272370,True
13,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0271 AND initial_heading_error > -0.7341 AND initial_speed > 0.1598,1.180585,0.660203,0.970068,0.552230,initial_speed,0.660203,0.158800,0.501403,True
13,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0271 AND initial_heading_error > -0.7341 AND initial_speed > 0.1598,1.180585,0.660203,0.970068,0.552230,initial_heading_error,0.552230,-0.735100,1.287330,True
20,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0271 AND initial_heading_error > -0.7341 AND initial_speed > 0.1598,2.504705,1.825050,0.909076,-0.157553,initial_heading_error,-0.157553,-0.735100,0.577547,True
20,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0271 AND initial_heading_error > -0.7341 AND initial_speed > 0.1598,2.504705,1.825050,0.909076,-0.157553,initial_heading_error,-0.157553,-1.028100,0.870547,True
20,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0271 AND initial_heading_error > -0.7341 AND initial_speed > 0.1598,2.504705,1.825050,0.909076,-0.157553,initial_heading_error,-0.157553,0.824600,0.982153,True
21,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0271 AND initial_heading_error > -0.7341 AND initial_speed > 0.1598,2.187704,0.445099,0.465271,0.201282,initial_speed,0.445099,0.158800,0.286299,True
21,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0271 AND initial_heading_error > -0.7341 AND initial_speed > 0.1598,2.187704,0.445099,0.465271,0.201282,initial_heading_error,0.201282,0.824600,0.623318,True
21,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0271 AND initial_heading_error > -0.7341 AND initial_speed > 0.1598,2.187704,0.445099,0.465271,0.201282,initial_heading_error,0.201282,-0.735100,0.936382,True
43,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0271 AND initial_heading_error > -0.7341 AND initial_speed > 0.1598,1.360341,1.710925,0.652438,-0.488787,initial_heading_error,-0.488787,-0.735100,0.246313,True
43,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0271 AND initial_heading_error > -0.7341 AND initial_speed > 0.1598,1.360341,1.710925,0.652438,-0.488787,initial_heading_error,-0.488787,-1.028100,0.539313,True
43,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0271 AND initial_heading_error > -0.7341 AND initial_speed > 0.1598,1.360341,1.710925,0.652438,-0.488787,initial_heading_error,-0.488787,0.824600,1.313387,True
56,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0271 AND initial_heading_error > -0.7341 AND initial_speed > 0.1598,0.818051,1.884569,0.360911,0.435581,initial_heading_error,0.435581,0.824600,0.389019,True
56,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0271 AND initial_heading_error > -0.7341 AND initial_speed > 0.1598,0.818051,1.884569,0.360911,0.435581,initial_heading_error,0.435581,-0.735100,1.170681,True
56,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0271 AND initial_heading_error > -0.7341 AND initial_speed > 0.1598,0.818051,1.884569,0.360911,0.435581,initial_heading_error,0.435581,-1.028100,1.463681,True
58,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0271 AND initial_heading_error > -0.7341 AND initial_speed > 0.1598,2.043237,2.396637,0.887076,-0.509292,initial_heading_error,-0.509292,-0.735100,0.225808,True
58,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0271 AND initial_heading_error > -0.7341 AND initial_speed > 0.1598,2.043237,2.396637,0.887076,-0.509292,initial_heading_error,-0.509292,-1.028100,0.518808,True
58,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0271 AND initial_heading_error > -0.7341 AND initial_speed > 0.1598,2.043237,2.396637,0.887076,-0.509292,initial_heading_error,-0.509292,0.824600,1.333892,True
60,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0271 AND initial_heading_error > -0.7341 AND initial_speed > 0.1598,1.947314,0.852553,0.804625,0.294883,initial_heading_error,0.294883,0.824600,0.529717,True
60,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0271 AND initial_heading_error > -0.7341 AND initial_speed > 0.1598,1.947314,0.852553,0.804625,0.294883,initial_speed,0.852553,0.158800,0.693753,True
60,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0271 AND initial_heading_error > -0.7341 AND initial_speed > 0.1598,1.947314,0.852553,0.804625,0.294883,initial_heading_error,0.294883,-0.735100,1.029983,True
67,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0271 AND initial_heading_error > -0.7341 AND initial_speed > 0.1598,1.106547,0.947139,0.436259,-0.633012,initial_heading_error,-0.633012,-0.735100,0.102088,True
67,Pass,Fail,fail,initial_heading_error <= 0.8236 AND initial_heading_error > -1.0271 AND initial_heading_error > -0.7341 AND initial_speed > 0.1598,1.106547,0.947139,0.436259,-0.633012,initial_heading_error,-0.633012,-1.028100,0.395088,True
